obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""93.5517""","=""0.0002""","=""93.551743""","=""0.000004""","=""9000""","=""""",,"=""0.0000""","=""106892.717""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c140""",
"=""93.7651""","=""0.0002""","=""93.765133""","=""0.000004""","=""9000""","=""4.4e+07""",E,"=""0.0000""","=""106649.452""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""11/2""",,"=""T6892c83""","=""L18349c140""",
"=""94.0193""","=""0.0002""","=""94.019214""","=""0.000004""","=""2000""","=""""",,"=""0.0000""","=""106361.238""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).6p""","=""6D*""","=""9/2""",,"=""""","=""L18349c140""",
"=""94.1264""","=""0.0002""","=""94.126644""","=""0.000004""","=""11000""","=""7.e+07""",E,"=""384.7872""","=""106624.631""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""94.5086""","=""0.0002""","=""94.508683""","=""0.000004""","=""11000""","=""4.1e+07""",D,"=""667.6829""","=""106478.067""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""94.5808""","=""0.0002""","=""94.579889""","=""0.000005""","=""6000bl(Fe II)*""","=""""",,"=""667.6829""","=""106398.405""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L18349c140""",
"=""94.5808""","=""0.0002""","=""94.580820""","=""0.000004""","=""6000bl(Fe II)*""","=""""",,"=""862.6118""","=""106592.294""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c140""",
"=""95.0337""","=""0.0002""","=""95.034045""","=""0.000004""","=""10000""","=""""",,"=""2430.1369""","=""107655.585""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D).6p""","=""4D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""95.2808""","=""0.0002""","=""95.281081""","=""0.000004""","=""2100""","=""""",,"=""8391.9554""","=""113344.585""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D<3>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c140""",
"=""96.1117""","=""0.0002""","=""96.110981""","=""0.000004""","=""5000""","=""""",,"=""3117.4877""","=""107163.871""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c140""",
"=""96.3025""","=""0.0002""","=""96.302482""","=""0.000004""","=""3500""","=""""",,"=""8391.9554""","=""112231.439""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3G).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c140""",
"=""97.8366""","=""0.0002""","=""97.836622""","=""0.000004""","=""8000""","=""2.2e+08""",E,"=""7955.3186""","=""110166.534""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""98.1370""","=""0.0002""","=""98.136598""","=""0.000004""","=""17000""","=""4.6e+07""",D,"=""8391.9554""","=""110290.739""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F1).5p""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""98.4760""","=""0.0002""","=""98.475979""","=""0.000004""","=""7000""","=""2.4e+07""",D,"=""1872.5998""","=""103420.207""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c140""",
"=""98.9661""","=""0.0002""","=""98.966043""","=""0.000004""","=""3000""","=""2.1e+07""",D,"=""2837.9807""","=""103882.740""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""98.9803""","=""0.0002""","=""98.979457""","=""0.000004""","=""18000""","=""""",,"=""2837.9807""","=""103869.046""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c140""",
"=""98.9894""","=""0.0002""","=""98.989489""","=""0.000004""","=""18000""","=""1.0e+08""",D+,"=""1872.5998""","=""102893.426""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[6]*""","=""11/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.0004""","=""0.0002""","=""99.000271""","=""0.000004""","=""11000""","=""3.1e+07""",D+,"=""1872.5998""","=""102882.424""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.0315""","=""0.0002""","=""99.030693""","=""0.000004""","=""2100""","=""1.2e+07""",D,"=""1872.5998""","=""102851.394""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D<4>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.0801""","=""0.0002""","=""99.079618""","=""0.000004""","=""17000""","=""""",,"=""3117.4877""","=""104046.419""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c140""",
"=""99.0856""","=""0.0002""","=""99.085848""","=""0.000004""","=""14000""","=""5.4e+07""",D+,"=""2430.1369""","=""103352.723""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.1108""","=""0.0002""","=""99.111654""","=""0.000004""","=""1700""","=""""",,"=""2430.1369""","=""103326.445""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c140""",
"=""99.1340""","=""0.0002""","=""99.133937""","=""0.000004""","=""2300""","=""1.1e+07""",D,"=""2837.9807""","=""103711.610""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.1579""","=""0.0002""","=""99.157098""","=""0.000011""","=""20000bl(Fe II)*""","=""""",,"=""3117.4877""","=""103967.555""","=""3d7""","=""a 4F""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2S*""","=""1/2""",,"=""""","=""L18349c140""",
"=""99.1579""","=""0.0002""","=""99.158583""","=""0.000004""","=""20000bl(Fe II)*""","=""""",,"=""8680.4706""","=""109529.028""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3P2).5p""","=""4P*""","=""1/2""",,"=""""","=""L18349c140""",
"=""99.1690""","=""0.0002""","=""99.168111""","=""0.000004""","=""2200""","=""1.8e+07""",D,"=""2837.9807""","=""103676.848""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.1829""","=""0.0002""","=""99.183662""","=""0.000004""","=""8000""","=""""",,"=""2837.9807""","=""103661.038""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L18349c140""",
"=""99.4224""","=""0.0002""","=""99.422329""","=""0.000004""","=""16000bl(Fe II)*""","=""5.9e+07""",D+,"=""3117.4877""","=""103698.515""","=""3d7""","=""a 4F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.4224""","=""0.0002""","=""99.423390""","=""0.000004""","=""16000bl(Fe II)*""","=""""",,"=""2837.9807""","=""103417.935""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L18349c140""",
"=""99.4348""","=""0.0002""","=""99.434866""","=""0.000004""","=""3000""","=""2.4e+07""",D,"=""2837.9807""","=""103406.327""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.4410""","=""0.0002""","=""99.439831""","=""0.000004""","=""2200""","=""""",,"=""7955.3186""","=""108518.643""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""""","=""L18349c140""",
"=""99.4552""","=""0.0002""","=""99.455180""","=""0.000004""","=""14000""","=""5.0e+07""",D+,"=""2837.9807""","=""103385.785""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.4907""","=""0.0002""","=""99.490490""","=""0.000004""","=""2800""","=""1.8e+07""",D,"=""2430.1369""","=""102942.256""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.5450""","=""0.0002""","=""99.545044""","=""0.000004""","=""2700""","=""1.4e+07""",D,"=""2430.1369""","=""102887.172""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.5497""","=""0.0002""","=""99.549749""","=""0.000004""","=""5000""","=""2.0e+07""",D,"=""2430.1369""","=""102882.424""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""99.7384""","=""0.0002""","=""99.738409""","=""0.000004""","=""5000""","=""2.9e+07""",E,"=""7955.3186""","=""108217.596""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""100.7426""","=""0.0002""","=""100.741833""","=""0.000004""","=""5000bl(Fe II)*""","=""""",,"=""8391.9554""","=""107655.585""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D).6p""","=""4D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""100.7426""","=""0.0002""","=""100.742944""","=""0.000004""","=""5000bl(Fe II)*""","=""""",,"=""7955.3186""","=""107217.854""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c140""",
"=""100.7979""","=""0.0002""","=""100.797761""","=""0.000004""","=""8000""","=""""",,"=""7955.3186""","=""107163.871""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c140""",
"=""100.9608""","=""0.0002""","=""100.960677""","=""0.000004""","=""2800""","=""""",,"=""8680.4706""","=""107728.935""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""101.0307""","=""0.0002""","=""101.030352""","=""0.000004""","=""2900bl(Fe II)*""","=""""",,"=""8846.7837""","=""107826.940""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c140""",
"=""101.0307""","=""0.0002""","=""101.030787""","=""0.000004""","=""2900bl(Fe II)*""","=""""",,"=""8391.9554""","=""107371.685""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""101.1039""","=""0.0002""","=""101.103748""","=""0.000004""","=""10000""","=""""",,"=""7955.3186""","=""106863.620""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18349c140""",
"=""101.1209""","=""0.0002""","=""101.120610""","=""0.000004""","=""3400""","=""""",,"=""8680.4706""","=""107572.279""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c140""",
"=""101.1228""","=""0.0002""","=""101.122932""","=""0.000004""","=""3000""","=""""",,"=""8846.7837""","=""107736.321""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""101.1687""","=""0.0002""","=""101.168786""","=""0.000004""","=""7000""","=""""",,"=""8680.4706""","=""107525.187""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c140""",
"=""101.2413""","=""0.0002""","=""101.241134""","=""0.000004""","=""17000bl(Fe II)*""","=""""",,"=""8680.4706""","=""107454.552""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""""","=""L18349c140""",
"=""101.2413""","=""0.0002""","=""101.241418""","=""0.000004""","=""17000bl(Fe II)*""","=""""",,"=""8391.9554""","=""107165.760""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c140""",
"=""101.2574""","=""0.0002""","=""101.257268""","=""0.000004""","=""1900""","=""""",,"=""8846.7837""","=""107605.127""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""101.2619""","=""0.0002""","=""101.262040""","=""0.000004""","=""19000""","=""""",,"=""7955.3186""","=""106709.008""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D).6p""","=""4F*""","=""9/2""",,"=""""","=""L18349c140""",
"=""101.7743""","=""0.0002""","=""101.773667""","=""0.000004""","=""20000""","=""""",,"=""15844.6485""","=""114101.892""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c140""",
"=""103.4285""","=""0.0002""","=""103.428964""","=""0.000006""","=""4000""","=""""",,"=""26352.7671""","=""123037.483""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3H<6>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c140""",
"=""104.0933""","=""0.0002""","=""104.093322""","=""0.000004""","=""2600""","=""""",,"=""7955.3186""","=""104022.961""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c140""",
"=""104.7893""","=""0.0002""","=""104.788338""","=""0.000004""","=""2100""","=""""",,"=""7955.3186""","=""103385.785""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c140""",
"=""104.9245""","=""0.0002""","=""104.924572""","=""0.000004""","=""2200""","=""""",,"=""8391.9554""","=""103698.515""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c140""",
"=""105.5258""","=""0.0002""","=""105.526176""","=""0.000004""","=""21000""","=""4.6e+07""",D+,"=""0.0000""","=""94763.218""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""105.6594""","=""0.0002""","=""105.660370""","=""0.000004""","=""2000""","=""""",,"=""8391.9554""","=""103034.819""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c140""",
"=""105.8819""","=""0.0002""","=""105.881454""","=""0.000004""","=""3200""","=""""",,"=""8680.4706""","=""103125.717""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L18349c140""",
"=""105.9562""","=""0.0002""","=""105.956413""","=""0.000004""","=""20000""","=""3.2e+07""",D+,"=""384.7872""","=""94763.218""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.0437""","=""0.0002""","=""106.044206""","=""0.000004""","=""20000""","=""1.2e+08""",D+,"=""384.7872""","=""94685.083""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.0598""","=""0.0002""","=""106.059122""","=""0.000004""","=""2300""","=""""",,"=""13904.8604""","=""108191.894""","=""3d7""","=""a 4P""","=""1/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""""","=""L18349c140""",
"=""106.1705""","=""0.0002""","=""106.170598""","=""0.000005""","=""7000""","=""""",,"=""8846.7837""","=""103034.819""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(5D<4>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c140""",
"=""106.1856""","=""0.0002""","=""106.185060""","=""0.000005""","=""10000""","=""""",,"=""20340.2461""","=""114515.453""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L18349c140""",
"=""106.2150""","=""0.0002""","=""106.215305""","=""0.000020""","=""8000""","=""1.7e+07""",D,"=""0.0000""","=""94148.39""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4G).4s.4p.(3P*)""","=""w 4G*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.2747""","=""0.0002""","=""106.274968""","=""0.000005""","=""20000""","=""3.1e+07""",D+,"=""667.6829""","=""94763.218""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.3020""","=""0.0002""","=""106.301293""","=""0.000005""","=""22000bl(Fe II)*""","=""""",,"=""20805.7632""","=""114877.996""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).5p""","=""2G*""","=""9/2""",,"=""""","=""L18349c140""",
"=""106.3020""","=""0.0002""","=""106.302174""","=""0.000005""","=""22000bl(Fe II)*""","=""1.2e+08""",D+,"=""667.6829""","=""94739.136""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.3170""","=""0.0005""","=""106.317687""","=""0.000005""","=""33000""","=""3.2e+08""",D+,"=""0.0000""","=""94057.727""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""T6892c83""","=""L18349c144""",
"=""106.3626""","=""0.0002""","=""106.362642""","=""0.000020""","=""20000bl(Fe II)*""","=""1.4e+08""",D+,"=""862.6118""","=""94880.585""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.3626""","=""0.0002""","=""106.363290""","=""0.000005""","=""20000bl(Fe II)*""","=""1.6e+07""",D,"=""667.6829""","=""94685.083""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.3970""","=""0.0002""","=""106.397179""","=""0.000005""","=""17000""","=""3.5e+07""",D+,"=""0.0000""","=""93987.454""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""106.4226""","=""0.0002""","=""106.423022""","=""0.000005""","=""2700""","=""""",,"=""20805.7632""","=""114770.394""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L18349c140""",
"=""106.4922""","=""0.0002""","=""106.492263""","=""0.000020""","=""2200""","=""4.1e+07""",D,"=""977.0498""","=""94880.585""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""T6892c83""","=""L18349c140""",
